"date","bib6","bio6","bib8","bio8"
1929-07-01,141,141,169,169
1929-07-02,141,141,169,169
1929-07-03,141,141,169,169
1929-07-04,141,141,169,169
1929-07-05,141,141,169,169
1929-07-06,141,141,169,169
1929-07-07,141,141,169,169
1929-07-08,141,141,169,169
1929-07-09,141,141,169,169
1929-07-10,141,141,169,169
1929-07-11,141,141,169,169
1929-07-12,141,141,169,169
1929-07-13,141,141,169,169
1929-07-14,141,141,169,169
1929-07-15,141,141,169,169
1929-07-16,141,141,169,169
1929-07-17,141,141,169,169
1929-07-18,141,141,169,169
1929-07-19,141,141,169,169
1929-07-20,141,141,169,169
1929-07-21,141,141,169,169
1929-07-22,141,141,169,169
1929-07-23,141,141,169,169
1929-07-24,141,141,169,169
1929-07-25,141,141,169,169
1929-07-26,141,141,169,169
1929-07-27,141,141,169,169
1929-07-28,141,141,169,169
1929-07-29,141,141,169,169
1929-07-30,141,141,169,169
1929-07-31,141,141,169,169
1929-08-01,141,141,169,169
1929-08-02,141,141,169,169
1929-08-03,141,141,169,169
1929-08-04,141,141,169,169
1929-08-05,141,141,169,169
1929-08-06,141,141,169,169
1929-08-07,141,141,169,169
1929-08-08,141,141,169,169
1929-08-09,141,141,169,169
1929-08-10,141,141,169,169
1929-08-11,141,141,169,169
1929-08-12,141,141,169,169
1929-08-13,141,141,169,169
1929-08-14,141,141,169,169
1929-08-15,141,141,169,169
1929-08-16,141,141,169,169
1929-08-17,141,141,169,169
1929-08-18,141,141,169,169
1929-08-19,141,141,169,169
1929-08-20,141,141,169,169
1929-08-21,141,141,169,169
1929-08-22,141,141,169,169
1929-08-23,141,141,169,169
1929-08-24,141,141,169,169
1929-08-25,141,141,169,169
1929-08-26,141,141,169,169
1929-08-27,141,141,169,169
1929-08-28,141,141,169,169
1929-08-29,141,141,169,169
1929-08-30,141,141,169,169
1929-08-31,141,141,169,169
1929-09-01,141,141,169,169
1929-09-02,141,141,169,169
1929-09-03,141,141,169,169
1929-09-04,141,141,169,169
1929-09-05,141,141,169,169
1929-09-06,141,141,169,169
1929-09-07,141,141,169,169
1929-09-08,141,141,169,169
1929-09-09,141,141,169,169
1929-09-10,141,141,169,169
1929-09-11,141,141,169,169
1929-09-12,141,141,169,169
1929-09-13,141,141,169,169
1929-09-14,141,141,169,169
1929-09-15,141,141,169,169
1929-09-16,141,141,169,169
1929-09-17,141,141,169,169
1929-09-18,141,141,169,169
1929-09-19,141,141,170,170
1929-09-20,141,141,170,170
1929-09-21,141,141,170,170
1929-09-22,141,141,170,170
1929-09-23,141,141,170,170
1929-09-24,141,141,170,170
1929-09-25,141,141,170,170
1929-09-26,141,141,170,170
1929-09-27,141,141,170,170
1929-09-28,141,141,170,170
1929-09-29,141,141,170,170
1929-09-30,141,141,170,170
1929-10-01,141,141,170,170
1929-10-02,141,141,170,170
1929-10-03,141,141,170,170
1929-10-04,141,141,170,170
1929-10-05,141,141,170,170
1929-10-06,141,141,170,170
1929-10-07,141,141,170,170
1929-10-08,141,141,170,170
1929-10-09,141,141,170,170
1929-10-10,141,141,170,170
1929-10-11,141,141,170,170
1929-10-12,141,141,170,170
1929-10-13,141,141,170,170
1929-10-14,141,141,170,170
1929-10-15,141,141,170,170
1929-10-16,141,141,170,170
1929-10-17,141,141,170,170
1929-10-18,141,141,170,170
1929-10-19,141,141,170,170
1929-10-20,141,141,170,170
1929-10-21,141,141,170,170
1929-10-22,141,141,170,170
1929-10-23,141,141,170,170
1929-10-24,141,141,170,170
1929-10-25,141,141,170,170
1929-10-26,141,141,170,170
1929-10-27,141,141,170,170
1929-10-28,141,141,170,170
1929-10-29,141,141,170,170
1929-10-30,141,141,170,170
1929-10-31,141,141,170,170
1929-11-01,141,141,170,170
1929-11-02,141,141,170,170
