id,tratamiento,edad,escolaridad,tamano_hogar,zona_rural,linea_base_consumo,comidas_dia,dias_sin_comida,variedad_dieta,gasto_alimentos,come_proteina,reservas_grano,consumo_total,consumo_no_alimentario,gasto_salud,gasto_educacion,gasto_vestido,valor_activos,tiene_refrigerador,tiene_bicicleta,num_animales,valor_herramientas,tiene_celular,calidad_vivienda,tiene_tierra,valor_ahorro,indice_estres,dias_ansiedad,satisfaccion_vida,calidad_sueno,apoyo_social,autoeficacia,optimismo_futuro,dias_animo_bajo,concentracion,energia_diaria,relaciones_familiares,sentido_control,ingreso_mensual,ingreso_laboral,ingreso_negocio,ventas_mes,horas_trabajadas,num_empleos,estabilidad_empleo,anios_escolaridad_hijos,asistencia_escolar,gasto_utiles,tareas_supervisadas,dias_falta_escuela,repitio_anio,calificacion_promedio,libros_hogar,horas_estudio,inscrito_secundaria
1,1,40,2,2,0,6264,58.69,3,50.29,904,0,NA,977,2478,4409,1911,1163,1775,0,0,NA,2678,1,56.01,NA,NA,NA,1,45.56,50.1,50.98,57.35,49.81,4,57.04,43.6,49.39,60.09,3152,3270,3115,1986,59.17,4,54.09,66.97,0,2658,44.38,3,0,59.35,3,48.42,1
2,0,38,4,2,0,1519,39.4,2,43.07,718,NA,NA,2205,1142,1004,643,1390,2154,0,0,4,2303,0,46.21,1,1066,43.62,4,63.67,NA,55.32,41.3,27.8,0,37.53,47.31,50.41,41.01,2238,1755,2678,2377,69.28,4,40.05,52.87,1,518,31.6,3,0,42.09,4,NA,NA
3,1,42,7,7,0,1845,48.05,3,44.68,841,0,35.79,1372,3120,850,2628,3238,1691,NA,NA,6,1418,0,60.33,NA,2081,32.43,7,NA,52.61,37.29,NA,60.36,4,41.39,58.46,48.89,40.76,NA,1135,NA,1268,65.82,3,32.5,NA,0,1054,58.18,3,1,51.54,3,35.95,0
4,0,47,6,3,0,7056,52.24,4,62.94,2415,0,50.92,2958,2312,1586,2382,2966,1852,1,1,4,1499,1,44.72,0,1868,55.99,3,37.2,54,46.49,51.84,NA,4,46.23,41.65,38.39,57.09,1581,1015,1186,1028,50.74,3,54.68,79.17,NA,1930,57.15,2,1,56.15,2,62.93,NA
5,1,40,9,6,1,4344,32.91,3,52.47,841,1,41.7,2004,4937,2143,620,NA,NA,1,1,2,2991,0,56.44,0,1362,30.66,7,42.08,55.25,47.17,NA,50.66,0,48.57,44.12,40.62,NA,1831,1408,1365,1719,57.09,2,NA,NA,1,1002,56.89,4,1,47.99,4,57,0
6,0,59,-0,5,1,878,54.74,5,40.62,1196,0,52.23,615,1957,537,1600,739,1316,1,0,0,NA,0,40.58,1,1007,38.85,3,59.21,40.89,NA,49.9,44.46,3,35.83,56.94,52.26,28.68,5743,1663,3767,2205,40.11,3,NA,37.62,0,1132,41.23,4,0,46.19,0,36.13,0
7,0,50,7,6,1,1059,36.12,3,50.9,1029,1,51.1,816,798,619,555,994,1120,1,1,3,NA,1,57.15,NA,NA,NA,3,71.23,35.27,35.35,55.97,58.84,2,41.24,62.06,52.77,68.02,1680,1069,1218,1473,46.61,3,30,39.84,1,697,33.34,6,1,41.03,3,38.41,0
8,1,28,4,6,0,2127,NA,2,55.56,1309,1,54.37,1040,NA,830,NA,509,1440,0,0,NA,1292,0,51.11,1,1561,43.77,6,27.21,NA,65.07,31.67,30.91,2,63.91,29.2,62.9,28.92,741,812,876,1251,55.32,2,55.3,61,1,967,56.9,3,NA,55.17,1,53.04,1
9,1,53,6,4,0,2660,45.05,5,37.77,2155,NA,29.09,1149,1449,3304,1097,1326,653,NA,1,3,1155,0,45.66,0,1206,57.94,3,56.51,55.52,47.96,37.18,58.1,3,61.43,36.04,37.14,39,2142,1323,1744,NA,45.47,2,58.68,66.63,1,1042,58.6,2,1,49.72,3,56.56,0
10,0,53,6,4,1,1897,62.9,3,NA,1128,1,57.93,955,1397,2759,2213,2755,2549,0,0,2,1003,1,46.98,1,1183,60.14,0,NA,70.86,64.17,47.46,33.86,2,61.78,49.31,34.88,79.82,626,897,924,1584,60.96,2,63.16,45.44,1,1506,51.71,4,NA,46.6,2,56.1,NA
